POST_ID,POST_TOPIC_TAGS,POST_CROP_TAGS,POST_TYPE
8f1cc721-598d-412f-a670-f379e9752513,"[
  [
    ""seeds"",
    ""buy-sell""
  ]
]","[
  [
    ""tomato""
  ]
]",infographic
def9cd4c-eaf0-405f-87c3-2a1f63bc795d,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
b8fa74a9-6990-4609-8eeb-5783b88754cf,"[
  [
    ""Agriculture News""
  ]
]",[],video
1792bad5-2378-479e-9e02-b0afee12a19f,"[
  [
    ""poultry farming""
  ]
]",[],infographic
310e585c-e602-437b-a510-7167d06ad668,"[
  [
    ""Success Story""
  ]
]",[],content
7883fd11-5f52-41df-b832-826021601c5a,"[
  [
    ""Piggery"",
    ""animal husbandry""
  ]
]",[],infographic
6053b66f-7b95-4394-a0de-79debe4c224a,"[
  [
    ""Agriculture News"",
    ""goat farming""
  ]
]",[],content
b070aa9e-4f1d-4bd5-b0ab-6c00b634de89,"[
  [
    ""Agriculture News""
  ]
]",[],content
b02633cc-b5cd-49f3-83f1-b6f81a0ab4da,"[
  [
    ""Agriculture News"",
    ""Government Schemes""
  ]
]",[],content
e18c7480-a06e-4ba9-9057-9b6547ce7244,"[
  [
    ""goat farming""
  ]
]",[],content
09804725-0cf1-4a45-a8d7-d05f7165bc6b,"[
  [
    ""seeds""
  ]
]","[
  [
    ""Mustard""
  ]
]",infographic
df57d935-6c0d-4e78-96b0-bff1b8712011,"[
  [
    ""Mandi Rates""
  ]
]",[],infographic
5b92e915-3c6c-427b-bbde-b90f8745a9c2,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""brinjal""
  ]
]",infographic
52121b32-9102-41a6-8921-26a7416ea198,"[
  [
    ""Krishify""
  ]
]",[],infographic
13db8248-8fd3-4c65-9092-84cf550b30e4,"[
  [
    ""Agriculture News"",
    ""subsidy""
  ]
]",[],content
6227ed4f-2a87-4839-8557-da0d44037e46,"[
  [
    ""Fertilizer""
  ]
]","[
  [
    ""potato"",
    ""paddy (rice)"",
    ""brinjal""
  ]
]",infographic
2fc7cc6c-48d4-4f12-b9d1-91a9ba9702f3,"[
  [
    ""Agriculture News""
  ]
]",[],video
bfbb4c7f-cd15-4fc5-aaee-b0682f4d42e2,"[
  [
    ""discussion""
  ]
]",[],infographic
b2d943ef-00ad-47c6-81d6-135a916fbeea,[],"[
  [
    ""Grapes""
  ]
]",infographic
7a4f89a4-5fd1-4d86-82ce-918bfcef6f03,"[
  [
    ""Success Story""
  ]
]","[
  [
    ""Sugarcane""
  ]
]",content
54d13615-f240-41e2-bf74-94c5c6c2b114,"[
  [
    ""Government Schemes"",
    ""Agriculture News""
  ]
]",[],content
47a20b5a-61cd-4aa9-abbd-1e1fad803968,"[
  [
    ""Agriculture News""
  ]
]",[],video
349a0a3d-bd01-43ef-be75-680fb403dd2e,"[
  [
    ""quiz""
  ]
]",[],infographic
7c091158-58d7-4909-8001-e6650f63a2c9,"[
  [
    ""seeds"",
    ""Agriculture News""
  ]
]","[
  [
    ""Wheat""
  ]
]",content
123730eb-cfc1-4cd5-ba4c-7e9378439799,"[
  [
    ""Government Schemes"",
    ""Agriculture News""
  ]
]",[],content
3be4985d-2323-4e9c-a289-5e68bd970bc9,"[
  [
    ""seeds"",
    ""buy-sell""
  ]
]","[
  [
    ""tomato""
  ]
]",infographic
a894ddae-5d00-40e5-bbd8-f2ebed6d95e6,"[
  [
    ""quiz""
  ]
]",[],infographic
0ccd5c17-93ac-4407-b486-ba77b0c498b9,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""tomato""
  ]
]",content
43702208-8351-4a6c-941a-0afdbcc5c135,[],"[
  [
    ""Wheat""
  ]
]",infographic
be376bee-f873-44f6-bfc5-34e60f08da2b,"[
  [
    ""Government Schemes"",
    ""Agriculture News""
  ]
]",[],content
e8cf3b8a-92b7-4956-9dfe-156ec57c8908,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""tomato"",
    ""potato""
  ]
]",content
4d316b89-5d75-4c56-a063-e09c3bf8086a,[],"[
  [
    ""Gram""
  ]
]",infographic
b1ccccc6-8725-4578-ac4e-79c94bf3dfc5,"[
  [
    ""animal husbandry"",
    ""Agriculture News""
  ]
]",[],content
004cce3c-9b38-4a98-9345-95e845db575e,"[
  [
    ""animal husbandry""
  ]
]",[],content
2e71ad99-8dc8-4216-b52c-f9514a1b42c7,"[
  [
    ""Agriculture News""
  ]
]","[
  [
    ""Wheat""
  ]
]",content
987e5adb-0bb7-49ca-8955-4cf142549e59,"[
  [
    ""Agriculture News""
  ]
]",[],content
ae9e43a6-76b7-461d-b710-c2dab0552eb9,"[
  [
    ""quiz""
  ]
]",[],infographic
2cc0235f-d0e4-42c2-b73d-009d859c0316,[],"[
  [
    ""Mustard""
  ]
]",content
afa52954-40dc-4b9b-af9b-9c7040179cd5,"[
  [
    ""Animal Feed"",
    ""buy-sell""
  ]
]",[],infographic
4e5d01f8-119e-43e9-b28a-69e848bda3a9,"[
  [
    ""Success Story""
  ]
]",[],content
6a7e5fda-f1b5-4e40-9f31-5faa591028fb,"[
  [
    ""Agriculture News""
  ]
]",[],content
bc60c0c1-d5d0-4daf-8a9d-4c1f5ca2afc5,"[
  [
    ""seeds""
  ]
]","[
  [
    ""Wheat""
  ]
]",infographic
13b41bab-b892-4a92-874d-af837942e5b6,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""paddy (rice)""
  ]
]",infographic
72f06a64-a59e-42b5-9b9f-0f283b9f0427,[],"[
  [
    ""Mustard""
  ]
]",content
82ee5249-d27d-4af7-b2c8-d083018e5e85,"[
  [
    ""Agriculture News""
  ]
]",[],video
67b05d37-eff9-4cdd-8817-91b795f0d024,"[
  [
    ""Agriculture News"",
    ""Government Schemes""
  ]
]",[],content
e9972658-f4b4-4d2f-b95d-f9b07f0ffae4,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Gram""
  ]
]",content
a273679f-c8ef-4bcd-9212-ba36da7a9274,"[
  [
    ""Agriculture News"",
    ""Government Schemes""
  ]
]",[],content
20dcb9f1-aa63-4650-9ce0-525c53d5cc56,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""paddy (rice)""
  ]
]",content
bf181cb7-4af0-464d-ba7c-eec9cdcc2670,"[
  [
    ""irrigation""
  ]
]","[
  [
    ""Wheat""
  ]
]",content
7bf5ea26-4ccd-4b26-a929-13a12c4ace58,[],"[
  [
    ""tomato""
  ]
]",content
382e686e-ac01-47e0-af97-ecf71ce0e1c4,"[
  [
    ""Agriculture News""
  ]
]",[],video
db19cfde-1f2e-4968-a48e-08ced6571fae,"[
  [
    ""Bee Keeping""
  ]
]",[],infographic
50671085-b721-45ec-bf79-5e1733ce4bb4,"[
  [
    ""animal husbandry"",
    ""goat farming""
  ]
]",[],infographic
5a93513e-0644-4d2c-b322-2812871b3087,"[
  [
    ""Agriculture News""
  ]
]",[],content
ee3d7202-5c12-4f4d-9bb5-6096c3043f7a,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
709ebd33-5d60-49a1-9d8c-1dc162222525,"[
  [
    ""seeds""
  ]
]","[
  [
    ""Wheat""
  ]
]",infographic
0aaa7f1c-864f-4cd6-aa31-150494392db9,[],"[
  [
    ""Kalonji""
  ]
]",content
2431a8d1-639f-41c3-8d7a-db0d728dbd70,"[
  [
    ""Mandi Rates""
  ]
]",[],video
f644a46a-06ea-42f2-bc91-0760220ae41c,"[
  [
    ""animal husbandry"",
    ""Government Schemes"",
    ""Agriculture News""
  ]
]",[],infographic
0bf3a4d0-aab1-4e09-b923-a2276bf279b6,"[
  [
    ""Agriculture News""
  ]
]",[],content
ad7e3c1c-5e43-4d89-8fd0-faf05c5eff9f,"[
  [
    ""Agriculture News""
  ]
]",[],content
d14866f6-ca83-4fdf-a9f9-97d9d55f3a4e,"[
  [
    ""fish farming""
  ]
]",[],content
38bd5f18-5746-4870-90fb-08ffa6b27a80,"[
  [
    ""Agriculture News""
  ]
]",[],content
f321e0fc-4aac-4e7c-880e-60b333eae3f6,"[
  [
    ""buy-sell"",
    ""farm machinery""
  ]
]",[],infographic
77109351-632e-4410-aa06-866bf0982b76,"[
  [
    ""goat farming""
  ]
]",[],content
a589a4d9-49f0-4fa5-bde5-46c10cb288cf,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""cauliflower""
  ]
]",content
2917c3fd-21ca-45e7-9cb7-8c706af4ed7a,"[
  [
    ""fish farming""
  ]
]",[],infographic
6595c20a-9003-47ef-91b5-554cf8a73a58,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
2b125b84-9d53-448c-9d42-9de99c451882,"[
  [
    ""Agriculture News""
  ]
]",[],content
884ad7c3-c2b4-4144-b5f7-d1bf5a243519,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""onion"",
    ""brinjal""
  ]
]",content
fb033614-1803-4a8b-86e1-8fea89e54258,"[
  [
    ""quiz""
  ]
]",[],infographic
8fe4b9e7-1db5-449b-8e1d-26f8886bb558,"[
  [
    ""Organic Fertilizer"",
    ""buy-sell""
  ]
]",[],infographic
869ea6cf-df30-4fe4-9a2a-a61d4fa646da,"[
  [
    ""weed management""
  ]
]","[
  [
    ""Wheat""
  ]
]",content
d8b97dc3-1ec9-4574-a374-ebbcf64f3d4d,"[
  [
    ""seeds""
  ]
]","[
  [
    ""Wheat""
  ]
]",content
6da7e9af-667e-44d7-a3cb-464d94960ebc,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
ffe71ea1-8217-42c6-94fb-57cd02e93967,"[
  [
    ""Agriculture News""
  ]
]","[
  [
    ""Maize""
  ]
]",content
edb682cf-f0bb-4aff-b964-0d5b1c237549,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Garlic""
  ]
]",video
