USER_ID,USER_STATE,USER_DISTRICT,FOLLOWED_CROP_LIST,FOLLOWED_TOPIC_LIST
085c6c5f-f112-47f8-ac50-f99e8bbb467d,छत्तीसगढ़,राजनांदगांव,"[
  ""tomato""
]",
086f990f-8778-4c7b-8c77-491c16dd9f11,राजस्थान,अलवर,"[
  ""Mustard"",
  ""Wheat""
]",
0863b2f2-1110-4993-a183-77479e7cece7,उत्तर प्रदेश,बाराबंकी,"[
  ""potato"",
  ""Pea"",
  ""Mustard"",
  ""paddy (rice)"",
  ""Radish"",
  ""chilli""
]",
08673def-9b10-43c0-8e2e-c277804cf596,गुजरात,Anand District,"[
  ""Castor"",
  ""Arbi"",
  ""Guava""
]",
086fa02c-fc11-48f3-8204-5a8c6870709f,उत्तर प्रदेश,Ghazipur,"[
  ""Ajola"",
  ""फ्लैक्स सीड Linseed [Flax seed]""
]","[
  ""Today Tips""
]"
0876c9b7-c44b-461b-9e0e-97697d4466ba,पंजाब,Fazilka,"[
  ""paddy (rice)"",
  ""Karela"",
  ""Arbi"",
  ""Ajola"",
  ""cumin""
]",
0888b9e0-c70e-4d05-8c9d-36fb2f4b4170,उत्तर प्रदेश,फ़र्रूख़ाबाद,"[
  ""Coriander""
]",
0888d367-07f3-41a0-b6a2-6337d957a6ee,मध्य प्रदेश,सागर,"[
  ""toor daal""
]",
089156d9-803c-4829-bf54-0472fa3d17b1,राजस्थान,अजमेर,"[
  ""Mustard"",
  ""Maithi"",
  ""sorghum"",
  ""Barley"",
  ""moong"",
  ""Wheat"",
  ""Rijka"",
  ""Gram""
]",
08925ab8-9fbe-415f-8664-c14ecabd973c,राजस्थान,जयपुर,"[
  ""Ber""
]",
0876619d-1bbb-4878-8d31-791f2d749351,राजस्थान,अलवर,"[
  ""Mustard""
]",
087e8909-4977-4361-84b4-502cbe521ab2,मध्य प्रदेश,झाबुआ,"[
  ""peanut"",
  ""Barley"",
  ""Gram"",
  ""soyabean"",
  ""water melon"",
  ""Wheat"",
  ""Radish"",
  ""Spinach"",
  ""bottle gourd"",
  ""moong"",
  ""Karela"",
  ""chilli"",
  ""ridge gourd"",
  ""onion"",
  ""cotton"",
  ""Maize"",
  ""lady finger (okra)"",
  ""Beans"",
  ""Kidney Bins"",
  ""Maithi"",
  ""Coriander"",
  ""Garlic""
]","[
  ""subsidy on seed"",
  ""goat farming"",
  ""buy-sell"",
  ""Disease"",
  ""Government Schemes"",
  ""Mandi Rates"",
  ""Fasal Protection"",
  ""Agriculture News"",
  ""poultry farming"",
  ""Organic Fertilizer"",
  ""irrigation"",
  ""Organic Farming"",
  ""animal husbandry""
]"
08903dd5-c6a6-4b3d-8c7c-faa2d10540d0,बिहार,मुज़फ़्फ़रपुर,"[
  ""Gram"",
  ""tomato""
]",
08a1aa32-6170-48c7-8204-184dad0825ad,राजस्थान,श्रीगंगानगर,"[
  ""muskmelon"",
  ""Garlic"",
  ""Millet"",
  ""peanut"",
  ""Gwar"",
  ""Wheat"",
  ""Gram"",
  ""moong"",
  ""cotton"",
  ""Mustard""
]",
0893f2dd-9cb8-424b-8754-2a933d75afff,मध्य प्रदेश,सतना,"[
  ""paddy (rice)""
]","[
  ""weed management""
]"
089f0205-80cc-41ff-b953-be0ae9d2e19b,महाराष्ट्र,पुणे,"[
  ""paddy (rice)""
]",
089f2f91-c596-4b8b-af08-31fdcdf3f225,बिहार,पटना,"[
  ""Armenian cucumber"",
  ""Banana"",
  ""jack fruit""
]",
